min_VGT,max_VGT,avg_VGT,rms_VGT,variance_VGT,skewness_VGT,class
2.1E-06,0.38455528,0.00137525,0.00395868,1.378E-05,64.52588132,0
3.93E-06,0.14253285,0.00074834,0.00145327,1.55E-06,74.39826297,0
9.51E-06,0.54242807,0.00251906,0.00617576,3.18E-05,48.70433291,0
1.622E-05,1.01138806,0.00365094,0.01025414,9.182E-05,62.07730863,0
1.083E-05,0.7991339,0.00290954,0.00802687,5.597E-05,64.94558833,0
1.095E-05,0.94116701,0.00357864,0.00953452,7.81E-05,63.51683311,0
4.28E-06,0.84418225,0.00348197,0.00868703,6.334E-05,63.04607965,0
7.62E-06,1.00309439,0.00374625,0.01021811,9.038E-05,61.65004574,0
1.881E-05,1.046143,0.00452652,0.01111472,0.00010305,57.19693518,0
1.223E-05,0.98199385,0.00348888,0.00992502,8.634E-05,62.78938948,0
2.125E-05,0.88560432,0.00318299,0.00901727,7.118E-05,62.17674046,0
9.35E-06,0.9391457,0.00321587,0.00950071,7.993E-05,62.84399583,0
3.59E-06,0.45158065,0.00143354,0.00462961,1.938E-05,64.82576224,0
7.05E-06,0.49838848,0.00149593,0.00506482,2.342E-05,66.95148571,0
2.66E-06,0.54617435,0.00217465,0.0055561,2.614E-05,66.80175907,0
3.19E-06,0.77734001,0.00316615,0.00783542,5.137E-05,67.48434824,0
6.65E-06,0.4607207,0.00168407,0.00466479,1.893E-05,65.18055416,0
5.11E-06,0.38768273,0.00141909,0.00396101,1.368E-05,64.28182689,0
7.88E-06,0.45795417,0.00181301,0.00465966,1.843E-05,66.61153267,0
4.01E-06,0.53028742,0.00136837,0.00536354,2.69E-05,70.65796073,0
4.62E-06,0.42449183,0.00141423,0.00436223,1.703E-05,62.23412022,0
8.24E-06,0.54290945,0.00200003,0.0054881,2.612E-05,67.14310397,0
5.52E-06,0.8884814,0.00306295,0.00896167,7.093E-05,63.35673943,0
2.11E-06,0.14795902,0.00077548,0.00150836,1.67E-06,74.27343367,0
4.23E-06,0.48109164,0.00188751,0.00484163,1.988E-05,67.49157211,0
1.063E-05,0.55691458,0.0019726,0.00560772,2.756E-05,66.59371657,0
9.85E-06,0.44420155,0.00141478,0.00456368,1.883E-05,64.00802772,0
3.88E-06,0.38123111,0.00142144,0.00390339,1.322E-05,64.39183144,0
6.45E-06,0.53694596,0.00148826,0.00545217,2.751E-05,68.80882971,0
3.89E-06,0.48675642,0.0018065,0.00491803,2.092E-05,64.96282184,0
7.34E-06,0.62562385,0.0023614,0.00635477,3.481E-05,62.47382474,0
1.909E-05,0.81678292,0.00320518,0.00825236,5.783E-05,64.93760427,0
6.96E-06,0.90665778,0.00346959,0.00919298,7.248E-05,64.01953695,0
7.01E-06,0.90586773,0.00333536,0.00917695,7.31E-05,63.180159,0
7.01E-06,0.6808013,0.00242503,0.00688443,4.152E-05,64.52445569,0
6.03E-06,0.47493824,0.00187188,0.00481187,1.965E-05,66.18059274,0
1.181E-05,0.82874806,0.0030887,0.00839595,6.095E-05,64.8828281,0
1.108E-05,0.84841634,0.00314904,0.00853913,6.3E-05,65.25390129,0
5.17E-06,0.43891978,0.00156295,0.00441692,1.707E-05,66.62482632,0
6.48E-06,0.44655775,0.00138872,0.0045575,1.884E-05,64.29470206,0
7.89E-06,0.47332854,0.00142292,0.00484938,2.149E-05,61.95208196,0
2.59E-06,0.14446655,0.00074693,0.00147036,1.6E-06,73.85852429,0
1.68E-06,0.14728435,0.00081193,0.00156633,1.79E-06,66.1304805,0
2.72E-06,0.14413678,0.00076191,0.00147463,1.59E-06,73.82515352,0
4.64E-06,0.48762419,0.00140306,0.00495621,2.26E-05,66.58909032,0
3.09E-06,0.54976707,0.00153627,0.00555846,2.854E-05,64.55509868,0
4.37E-06,0.58644808,0.00160541,0.0059209,3.248E-05,64.43624795,0
1.552E-05,0.52639703,0.00158852,0.00534795,2.608E-05,63.61069157,0
5.12E-06,0.46493823,0.00147029,0.00477936,2.068E-05,66.05225829,0
4.15E-06,0.42350297,0.00153351,0.00436855,1.673E-05,62.88703553,0
4.23E-06,0.59744051,0.00213796,0.00605224,3.206E-05,64.71041729,0
5.99E-06,0.8607582,0.00355844,0.0086651,6.242E-05,66.69338945,0
7.12E-06,0.4129091,0.00143769,0.00425635,1.605E-05,63.60831385,0
1.426E-05,0.44959052,0.00168072,0.00451001,1.752E-05,68.926398,0
5.26E-06,0.4300898,0.00145795,0.00443209,1.752E-05,60.71860664,0
2.16E-06,0.45913359,0.00128755,0.00468975,2.034E-05,68.32048055,0
2.59E-06,0.43909636,0.001456,0.00449967,1.813E-05,63.26016236,0
2.79E-06,0.16096764,0.00079697,0.0016488,2.08E-06,69.34798274,0
1.76E-06,0.48497844,0.00137362,0.00494741,2.259E-05,68.64215019,0
2.28E-06,0.47969951,0.00141659,0.00489958,2.2E-05,67.26916208,0
4.02E-06,0.6760868,0.002083,0.00683537,4.239E-05,62.52625849,0
9.71E-06,0.44621181,0.00164244,0.00455692,1.807E-05,62.52562374,0
2.26E-06,0.45588545,0.00157449,0.00463332,1.899E-05,63.56811893,0
1.02E-06,0.02862176,0.00015751,0.00029095,6E-08,79.53084941,0
3.24E-06,0.44649195,0.00135987,0.00457623,1.909E-05,62.73745488,0
2.507E-05,1.0538595,0.00343573,0.01062276,0.00010104,62.1260024,0
4.86E-06,0.75300619,0.00247189,0.00760769,5.177E-05,62.27364122,0
5.82E-06,1.1930029,0.00287774,0.0117555,0.00012992,68.7567253,0
4.2E-07,0.16129719,0.00085897,0.00168283,2.09E-06,68.8454086,0
1.76E-06,0.0626444,0.00033729,0.00063711,2.9E-07,77.2723936,0
2.49E-06,0.39645066,0.00136981,0.004076,1.474E-05,63.9492792,0
2.38E-06,0.14128313,0.00079191,0.00149125,1.6E-06,69.55141428,0
1.153E-05,0.41371944,0.00145493,0.0041941,1.547E-05,65.40096242,0
3.82E-06,0.46591634,0.00172874,0.00468662,1.898E-05,67.08670624,0
5.87E-06,0.44777505,0.0015693,0.0046122,1.881E-05,62.24188687,0
1.544E-05,0.72172846,0.00249653,0.00730908,4.719E-05,62.56101453,0
3.2E-06,0.43949127,0.00167404,0.0044363,1.688E-05,66.44832581,0
2.69E-06,0.73448481,0.0027617,0.00755875,4.951E-05,61.72412031,0
9.76E-06,0.6161078,0.00229095,0.00620659,3.327E-05,67.33209468,0
2.257E-05,0.96186675,0.00355845,0.00971809,8.178E-05,63.39955605,0
4.53E-06,0.67613359,0.00253979,0.00686514,4.068E-05,64.06975037,0
5.43E-06,0.73162758,0.00245884,0.0074558,4.955E-05,61.83720584,0
2.037E-05,0.57274218,0.00207185,0.00578302,2.915E-05,67.34733925,0
2.114E-05,0.5659117,0.00202437,0.00575096,2.898E-05,65.59688826,0
9.55E-06,0.59982593,0.00210133,0.00607641,3.251E-05,63.2234102,0
6.01E-06,0.95585061,0.00366026,0.00968574,8.042E-05,63.98315023,0
1.2E-07,0.01045267,4.181E-05,0.00010724,1E-08,62.67550451,0
6.54E-06,0.63982038,0.00222049,0.00646257,3.684E-05,63.11344296,0
7.24E-06,0.71321309,0.00256962,0.00729025,4.655E-05,62.06985348,0
1.017E-05,1.03700297,0.00365012,0.01046705,9.624E-05,62.90348198,0
5.48E-06,0.73433751,0.0025674,0.00739229,4.806E-05,64.09897386,0
6.8E-06,0.95234916,0.00283626,0.00955766,8.331E-05,62.6701481,0
4.33E-06,0.74688091,0.0026535,0.00759848,5.07E-05,62.02973494,0
1.773E-05,0.80006711,0.00298861,0.00804075,5.572E-05,66.13240234,0
2.437E-05,0.65890072,0.0025757,0.00670625,3.834E-05,64.7552552,0
1.242E-05,0.75080649,0.00266875,0.00760608,5.073E-05,63.1043797,0
8.01E-06,0.96161706,0.00338042,0.00974156,8.347E-05,62.4292452,0
7.47E-06,0.45213333,0.00168239,0.00453705,1.776E-05,68.35082046,0
9.5E-06,0.47484586,0.0018191,0.0047836,1.957E-05,66.92174122,0
1.86E-06,0.12156704,0.0006611,0.00124403,1.11E-06,76.03425596,0
8.71E-06,0.82992083,0.00299374,0.00834945,6.075E-05,63.94225805,0
1.339E-05,0.82705297,0.00305028,0.00834723,6.038E-05,63.94872212,0
2.49E-06,0.61818998,0.00221212,0.00628488,3.461E-05,62.22353707,0
6.98E-06,0.4727144,0.00153883,0.00483095,2.097E-05,65.56261349,0
3.84E-06,0.46691817,0.00166697,0.00471549,1.946E-05,64.15708624,0
5.66E-06,0.61219254,0.00209588,0.00620749,3.414E-05,62.21977495,0
2.52E-06,0.11282027,0.0006238,0.00116236,9.6E-07,75.4027222,0
4.88E-06,0.14503426,0.00078057,0.00149268,1.62E-06,73.44420145,0
3E-06,0.44532559,0.00162728,0.00447082,1.734E-05,67.00841547,0
1.234E-05,0.54176867,0.00196894,0.00550153,2.639E-05,63.55464348,0
1.312E-05,0.45300592,0.00140878,0.0046517,1.965E-05,66.0508277,0
5.4E-06,0.10624139,0.0005889,0.00109829,8.6E-07,74.62850009,0
1.72E-06,0.12875965,0.00069821,0.00131468,1.24E-06,76.53021161,0
2.83E-06,0.09836816,0.00054477,0.00101015,7.2E-07,76.59397026,0
1.065E-05,0.48289307,0.00148392,0.00493979,2.22E-05,65.68427627,0
